p_x,p_y,p_z,dp_x,dp_y,dp_z,q_w,q_x,q_y,q_z,omega_x,omega_y,omega_z
-0.0187276,1.49869,-1.02453,-0.116212,-0.00651293,0.0347674,0.70622,-0.0304898,0.0280879,0.706778,-0.0163808,-0.145882,0.00638459
-0.0204853,1.49861,-1.02398,-0.123679,-0.00676021,0.0372344,0.706218,-0.0302601,0.0278008,0.706801,-0.0167404,-0.146606,0.00642574
-0.0204853,1.49861,-1.02398,-0.123679,-0.00676021,0.0372344,0.706216,-0.0300236,0.0275061,0.706825,-0.0168445,-0.152903,0.0064791
-0.022316,1.49852,-1.02342,-0.131035,-0.00701867,0.0396002,0.706213,-0.0297828,0.0272063,0.706849,-0.0171581,-0.153076,0.00652451
-0.022316,1.49852,-1.02342,-0.131035,-0.00701867,0.0396002,0.706211,-0.0295362,0.0269001,0.706874,-0.0172237,-0.1588,0.0065832
-0.0242181,1.49843,-1.02284,-0.138605,-0.00729269,0.0419687,0.706209,-0.0292862,0.0265899,0.706898,-0.0175072,-0.15844,0.00663319
-0.0242181,1.49843,-1.02284,-0.138605,-0.00729269,0.0419687,0.706206,-0.0290308,0.0262738,0.706923,-0.0175289,-0.16397,0.00669771
-0.02619,1.49833,-1.02224,-0.145959,-0.00757206,0.0442161,0.706204,-0.0287725,0.0259542,0.706948,-0.0177813,-0.163347,0.00675269
-0.02619,1.49833,-1.02224,-0.145959,-0.00757206,0.0442161,0.706201,-0.0285093,0.0256295,0.706973,-0.0177824,-0.168422,0.00682373
-0.0282298,1.49824,-1.02163,-0.153256,-0.0078645,0.0463946,0.706198,-0.028244,0.0253021,0.706998,-0.0180225,-0.167381,0.00688423
-0.0282298,1.49824,-1.02163,-0.153256,-0.0078645,0.0463946,0.706196,-0.0279745,0.0249702,0.707023,-0.0179746,-0.172085,0.00696147
-0.0303358,1.49813,-1.021,-0.160308,-0.00814839,0.0484337,0.706193,-0.0277033,0.0246364,0.707048,-0.0181902,-0.170705,0.00702728
